tracker,Added,Removed,Kept,Never
AWeber,4,0,0,47
Acuity Ads,0,2,1,48
Acxiom,6,0,2,43
AdGear,1,1,1,48
AdMarvel,0,1,0,50
AdRoll,1,1,0,49
AdScale,1,3,2,45
Adap.tv,0,1,0,50
Adblade,2,1,1,47
AddThis,1,4,10,36
Adform,3,3,4,41
Adloox,1,0,0,50
Admedo,1,0,0,50
Admeta,0,1,3,47
Admixer,1,1,0,49
Adobe Audience Manager,0,6,8,37
Advertise.com,0,0,1,50
Advertising.com,2,4,4,41
Aggregate Knowledge,2,9,8,32
Amazon Associates,1,0,2,48
AppNexus,2,6,8,35
Audience Science,0,1,1,49
BidSwitch,2,5,8,36
BlueCava,0,1,1,49
BlueKai,2,8,15,26
BrightRoll,1,4,9,37
Chameleon,2,0,0,49
Chango,3,2,0,46
ChartBeat,0,1,0,50
Clearstream.TV,1,0,0,50
Connexity,1,1,0,49
Content.ad,6,1,1,43
Conversant,0,0,1,50
Convertro,0,1,0,50
Crimtan,0,1,0,50
Criteo,1,1,3,46
DataXu,1,3,1,46
Datalogix,0,2,2,47
Delta Projects,1,0,0,50
Digilant,1,2,0,48
Dotomi,1,2,0,48
DoubleClick,1,5,44,1
DoubleClick Ad Exchange-Buyer,1,0,0,50
DoubleClick Ad Exchange-Seller,1,10,36,4
DoubleClick Spotlight,1,0,0,50
Drawbridge,1,4,1,45
Dstillery,1,2,1,47
EQ Advertising,1,1,0,49
Earnify,2,0,0,49
Eyeota,0,4,1,46
Eyeview,0,1,0,50
Facebook Custom Audience,0,2,0,49
GetIntent,1,0,0,50
Google AdWords Conversion,1,0,0,50
Google Adsense,0,10,39,2
Google Dynamic Remarketing,1,0,0,50
Google Publisher Tags,2,3,0,46
Google Syndication,2,17,29,3
Improve Digital,0,2,2,47
Index Exchange (Formerly Casale Media),2,4,8,37
Infectious Media,0,0,3,48
InfoLinks,0,0,2,49
Innovid,0,1,0,50
Intent IQ,2,1,0,48
Internet BillBoard,0,1,0,50
Kixer,5,1,13,32
Krux Digital,0,5,8,38
Lanista Concepts,0,1,1,49
LiveRamp,6,6,9,30
Lotame,6,5,9,31
Magnetic,2,1,0,48
MarketGid,2,1,2,46
Media Innovation Group,4,7,3,37
Media.net,1,2,0,48
MediaMath,6,4,7,34
Nativo,1,1,0,49
NetSeer,1,1,0,49
Netmining,0,1,0,50
Newsmax,0,1,0,50
Nexage,0,2,5,44
OpenX,0,4,7,40
OwnerIQ,1,4,5,41
Pixalate,1,0,0,50
PowerLinks,1,2,0,48
Propeller Ads,0,1,0,50
PubMatic,2,4,9,36
PulsePoint,2,5,8,36
Q1Media,0,0,2,49
Quantcast,8,7,11,25
RevContent,4,8,14,25
Rocket Fuel,1,0,2,48
Rubicon,2,6,7,36
SMART AdServer,1,3,3,44
ScoreCard Research Beacon,6,4,29,12
SecuredVisit,0,1,1,49
Sekindo,0,1,1,49
Semasio,0,2,2,47
ShareThis,2,3,7,39
ShareThrough,1,1,0,49
Simpli.fi,2,2,0,47
SiteScout,1,3,2,45
SkimLinks,1,0,0,50
Smaato,0,1,3,47
SmartClip,1,2,1,47
Sonobi,0,3,3,45
SpotXchange,2,1,2,46
Spoutable,4,1,1,45
StickyAds,0,5,7,39
Switch Concepts,2,3,2,44
Taboola,2,1,13,35
Tapad,0,5,7,39
Teads,3,1,2,45
TradeDesk,5,10,5,31
Tremor Media,0,0,1,50
Tribal Fusion,2,1,0,48
TripleLift,1,2,0,48
TubeMogul,3,3,3,42
Turn Inc.,0,4,8,39
Twitter Advertising,0,0,2,49
Tynt,0,3,1,47
Undertone,0,1,0,50
Unruly Media,1,1,0,49
VIVALU,1,0,0,50
Veruta,1,1,0,49
Videology,2,5,1,43
VigLink,0,0,4,47
Visible Measures,0,1,0,50
Yahoo Ad Exchange,1,6,7,37
Yahoo Ad Manager Plus,1,0,3,47
Yashi,1,1,0,49
Yieldlab,2,0,0,49
YllixMedia,1,0,0,50
[x+1],0,1,0,50
adingo,0,2,2,47
adsnative,1,2,0,48
eXelate,7,5,13,26
eyeReturn Marketing,0,2,0,49
gumgum,1,3,0,47
i-Behavior,0,2,2,47
myThings,0,1,0,50
sovrn (formerly Lijit Networks),1,2,3,45
